,Description,Difficulty,Image,Ingredients,Method,Preparation time,Serves,Title
130,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNzE2YmJiNzQtNzRmYy00MjZjLTkyNWYtZmY5Y2I3MWZhYjAxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['1 tablespoon plain flour, plus more for dusting', '1 sheet frozen puff pastry, thawed (a 9 1/2- by 9-inch sheet from a 17.3-ounce package)', '1 cup mascarpone', '1 1/2 teaspoons salt', '1 large egg, beaten', '1 lemon, zest finely grated (about 1 tablespoon)', '1 tablespoon chopped fresh chives', '1 tablespoon chopped fresh tarragon', '1 pound pencil asparagus, woody bottoms trimmed off', '1 tablespoon olive oil']}","<div class=""recipe-text"">
<p>Preheat the oven to 200°C. Line a baking sheet with parchment paper. Lightly flour the work surface and roll out the puff pastry to a 9- by 12-inch even rectangle. Transfer to the prepared baking sheet.</p><p>Combine the mascarpone, 1 1/4 teaspoons of the salt, the flour, egg and lemon zest, and then fold in the chives and tarragon. Spread over the puff pastry, leaving a 3/4-inch border. Make small cuts around the border about 1 inch apart with the tip of a paring knife.</p><p>Toss the asparagus with the olive oil in a bowl. Lay half of the asparagus in a neat row across the surface of the tart so the tips meet the edge. Do the same in the opposite direction with the remaining asparagus. Season with the remaining 1/4 teaspoon salt and some pepper. Bake until the border of the tart is deep golden and puffed and the top is lightly spotted golden brown, about 25 minutes. Let cool for 5 to 10 minutes and serve.</p><p>Serve with lightly dressed greens.</p>
</div>",20 mins,6,Spring Asparagus Tart
131,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOTQ1NThjZGEtOWJlMS00MDdkLWJhOGEtNTRhMTIzNDc3Yzk4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['One 14-ounce package firm tofu, drained and cut into 1/2-inch cubes', '1/2 teaspoon ground turmeric', 'Salt and freshly ground black pepper', '1/8 teaspoon ground cayenne pepper, optional', '2 tablespoons extra-virgin olive oil', '3 spring onions, thinly sliced, green and white parts separated', '5 ounces fresh spinach, chopped (about 5 packed cups)', '1 to 2 teaspoons fresh lemon juice', '1 cup cherry tomatoes, halved', '1/2 cup fresh basil, roughly chopped']}","<div class=""recipe-text"">
<p>Combine the tofu, turmeric, 1/2 teaspoon black pepper, 1/4 teaspoon salt and cayenne if using in a medium bowl. Toss well to combine and set aside.</p><p>Heat the oil in a large nonstick frying pan over medium-high heat. Add the spring onion whites and cook, stirring, until soft, about 1 minute. Add the tofu mixture and cook, stirring occasionally, until the tofu is lightly browned and resembles scrambled eggs, about 5 minutes.</p><p>Add the spinach, lemon juice and 1/2 teaspoon salt and stir until the spinach is wilted, about 1 minute. Add the tomatoes and scallion greens and stir until the tomatoes are just heated through and begin to soften, about 1 minute. Remove from the heat, add the basil and stir to combine. Season with salt and pepper.</p><p>Copyright 2014 Television Food Network, G.P. All rights reserved.</p>
</div>",15 mins,2,Vegan Tofu and Spinach Scramble
132,Adding blueberries to a coleslaw creates a deliciously sweet flavour.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNTRlNzQ0NTUtMGZjZS00ZGJiLTk1MzItYTNlZWM4NTg5NzE2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 small or 1/2 large head green cabbage, cut into 1/4-inch wide strips (about 6 cups)', '1 small red onion, halved and thinly sliced (about 1/2 cup)', '6 strips bacon, crisp-cooked and crumbled (reserve 1 tablespoon for garnish)', '1/2 cup dried blueberries (reserve 1 tablespoon for garnish)', '1/2 cup mayonnaise', '2 tablespoons apple cider vinegar', '1 tablespoon sugar', '1/2 cup toasted chopped pecans (reserve 1 tablespoon for garnish)', 'Salt and freshly ground black pepper']}","<div class=""recipe-text"">
<p> Toss the cabbage, onion, bacon, blueberries, mayonnaise, vinegar and sugar in a large bowl and toss to coat with the dressing. Cover and refrigerate 1 to 4 hours.</p><p>Stir in the pecans and season with salt and pepper just before serving. Sprinkle with reserved the bacon, berries and nuts. </p>
</div>",20 mins,6,"Red, White and Blueberry Coleslaw"
133,Use up leftover bread in this refreshing Italian tomato and cucumber salad.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDZhN2Q5NGEtYTVjMC00MWExLTk2ODctYjgyYzg1NzkzNmFmLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['8 ounces stale bread (3 to 4 days old), sliced', 'Cold water, as needed', '4 vine-ripened tomatoes or Roma tomatoes, chopped', '1 small red onion, chopped medium fine', '1 European cucumber, halved and sliced into half moons', '2 handfuls fresh basil', 'Salt and freshly ground black pepper', 'Red wine vinegar', 'Extra-virgin olive oil']}","<div class=""recipe-text"">
<p>Add the stale bread to a large bowl and cover with cold water. Let the bread soak for 45 minutes.</p>
<p>Remove the bread from the water and discard the water. With your hands squeeze it dry, removing the excess water, while breaking into big crumbs.</p>
<p>In a serving bowl, add the bread, tomatoes, onion, cucumbers, fresh basil, salt, and pepper and mix well.</p>
<p>Cover with plastic wrap and refrigerate until ready to serve.</p>
<p>Add the vinegar and extra-virgin olive oil when, fork at hand, you are ready to attack your dish, not 1 minute before then! </p>
</div>",60 mins,6,Panzanella
134,Spice up the carrots in your vegetable box with garlic and curry powder.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYWRjZDM2NWEtNzI2Zi00M2RmLWFiMmYtMTI3ODU5ODY3YTBiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['2 pounds carrots, approximately 12 to 15 medium', '1/2 cup mayonnaise', 'Pinch salt', '1/3 cup sugar', '1/2 cup canned, crushed pineapple, drained thoroughly of all liquid', '1/2 cup raisins', '2 teaspoons curry powder', '1 teaspoon minced garlic', 'Pinch celery seed and/or caraway seed, optional']}","<div class=""recipe-text"">
<p> Wash the carrots and peel, if necessary. Using a vegetable peeler, cut the carrots into wide noodle-shaped strips.</p><p>In a large mixing bowl whisk together the mayonnaise, salt, sugar, pineapple, raisins, curry powder, garlic, and celery seed and/or caraway seed, if using. Add the carrots and toss to combine. Serve immediately or refrigerate for 1 hour to serve cold. </p>
</div>",12 mins,4,Carrot Slaw
135,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYjdkOGFhY2QtYjQzOS00YmZlLWFhNDEtODc5MGQxNjM2NmQ1LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['8 slices country white bread', '4 slices white American cheese (cheese slices)', '4 slices yellow American cheese (cheese slices)', 'Salted butter, softened']}","<div class=""recipe-text"">
<p>1. Preheat the griddle to medium heat.</p><p>Build the sandwiches with 1 slice of white cheese on 4 pieces of bread and 1 slice of yellow cheese on the other 4 slices of bread. Close the sandwiches and butter both sides. Place on the griddle, cover with a metal bowl and let the sandwiches get a nice golden brown, 3 to 4 minutes. Flip the sandwiches, cover again with the metal bowl and cook until the cheese is melted and the sandwiches are golden brown, another 3 to 4 minutes.</p>
<p>2. Using 4 descending sizes of star shaped cookie cutters, punch stars out of the sandwiches. Place on top of Roasted Tomato Bisque from large to small.</p>
</div>",10 mins,4,Classic American Grilled Cheese
136,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMWQ3YWQ1NDUtNTI1YS00ZWMyLThkZDAtZGI3OGIyYmYyNmNjLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['2 tablespoons butter', '1/2 small onion, grated with juices retained', '1 clove garlic, minced', '1/4 teaspoon white pepper', '1/4 teaspoon paprika', 'Kosher salt and freshly ground black pepper', '2 cups heavy cream, room temperature', '8 ounces Colby Jack cheese, shredded', '4 ounces sharp Cheddar, shredded', '1 pound baby shell pasta, cooked al dente', 'Chopped parsley, for garnish']}","<div class=""recipe-text"">
<p> In a large saucepan over medium heat, melt the butter. Add the onions, including juices, and cook until tender, about 2 minutes. Add the garlic, white pepper, paprika, and salt and freshly ground black pepper, to taste. Cook for a few minutes to let the flavors bloom, and then slowly stir in the heavy cream. Bring to a simmer, stirring occasionally, and cook until slightly thickened, about 8 minutes. Add the cheeses and stir until melted, then remove from heat. Stir in the pasta and toss until thoroughly combined. Season with salt and pepper, to taste. Transfer to a serving bowl and serve warm garnished with parsley. </p>
</div>",10 mins,8,Creamy Stove-top Mac and Cheese
137,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZWM0NzZjNWQtNmI2Yi00YmM2LTkxYTQtYWJhZTFhOGZiYjYyLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 tablespoon peanut or grapeseed oil', '1/2 large sweet onion, such as Vidalia or Maui, thickly sliced', '8 ounces snow peas, ends trimmed (about 4 cups)', '1/4 cup bottled all-natural kung pao, shiitake soy ginger or other low-sodium stir-fry sauce', '2 tablespoons chopped unsalted roasted peanuts or cashews']}","<div class=""recipe-text"">
<p>Heat a wok or large skillet over high heat and add the oil. Add the onions and stir-fry until just wilted, about 30 seconds. Add the snow peas and stir-fry until nearly crisp-tender, about 2 minutes more. Add the sauce and stir-fry to coat, about 1 minute.</p><p>Transfer to a platter or large bowl, sprinkle with the nuts and serve.</p><p>Per serving: Calories: 131; Total Fat: 6 grams; Saturated Fat: 1 gram; Protein: 5  grams; Total carbohydrates: 14  grams; Sugar: 8 grams; Fiber: 3 grams; Cholesterol: 0 milligrams; Sodium: 357 milligrams </p>
</div>",10 mins,4,Kung Pao Snow Peas
138,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZThiNTY1ZWUtZmQ0Yi00NmEzLWFjZDgtNGI5MDRhYjRkODg4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['2 cups fresh basil leaves, plus small leaves, for garnish', '2 tablespoon extra-virgin olive oil', 'Salt and freshly ground black pepper', '4 ripe but firm yellow peaches, cut into wedges', '4 tomatoes, preferably a mix of large heirloom tomatoes, cored and cut into wedges', '1 tablespoon fresh lemon juice']}","<div class=""recipe-text"">
<p>Bring a small saucepan of water to a boil. Add the basil to the boiling water and cook until just wilted and bright green, about 15 seconds. Transfer with a slotted spoon to a blender and puree until smooth. With the machine running, add the olive oil and 1/4 teaspoon each salt and pepper.</p><p>Spread the basil puree on a serving platter. Arrange the peaches and tomatoes on top and sprinkle with the lemon juice, 1/4 teaspoon salt and 1/8 teaspoon pepper. Garnish with whole basil leaves and serve. </p>
</div>",5 mins,6,Tomato Peach Salad with Basil
139,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZTZiODM1ZTctYjQxOC00ZTVkLWE3ZTMtZTRiMGY5NzUzNTYyLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['2 pounds courgette', 'Nonstick cooking spray, for greasing', 'Salt and freshly ground black pepper', '1 teaspoon olive oil', '2 cloves garlic, minced', '1 red or green jalapeno, finely diced, seeded if desired', '1 teaspoon chilli powder', '1/2 teaspoon ground cumin', 'One 14.5-ounce can  diced tomatoes', '1/3 cup crumbled Cotija cheese', '2 tablespoons roughly chopped coriander']}","<div class=""recipe-text"">
<p>Preheat the grill. Slice the courgettes on a sharp angle about 1/2-inch thick and place on a baking sheet lined with foil and nonstick cooking spray. Coat the courgettes with nonstick cooking spray and season with 1/4 teaspoon salt and 1/4 teaspoon pepper. Broil, flipping once, until just golden, 6 to 8 minutes. Reduce the oven temperature to 425 degrees F.</p><p>Meanwhile, heat the oil in a medium pot set over medium-high heat. Add the garlic and jalapeno and cook until softened, 2 to 3 minutes. Add the chilli powder, cumin and tomatoes. Continue to cook until the tomatoes are soft and the sauce is thickened, about 10 minutes. Remove from the heat, lightly mash with a fork and season with salt and pepper.</p><p>Coat an 8-inch square baking dish with cooking spray. Place about 1/2 of the courgettes in the bottom of the dish and top with 1/2 of the tomato sauce. Repeat the layers and cover with foil. Bake until bubbly and hot, about 20 minutes. Remove the foil, sprinkle with the cheese and continue to bake until the cheese is melted and lightly browned, about 10 minutes. Let stand 10 minutes, sprinkle with the cilantro.</p><p>Per serving: Calories: 120; Total Fat: 5 grams; Saturated Fat: 2.5 grams; Protein: 8 grams; Total carbohydrates: 13 grams; Sugar: 8 grams; Fiber: 3 grams; Cholesterol: 10 milligrams; Sodium: 350 milligrams </p>
</div>",10 mins,4,Light Spicy Courgette and Tomato Casserole
140,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYjcyODI5Y2YtMTJkOC00ZDIxLWIxNWYtMDliYTFlZTkyNjk4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 large or 2 small poblano chillies', '2 portobello mushroom caps, thinly sliced, gills removed, optional', '1 tablespoon olive oil', 'Salt and freshly ground black pepper', 'Eight 1/3- to 1/2-inch-thick slices Cuban sandwich bread, sliced on the diagonal', '8 slices Monterey Jack cheese (about 6 ounces)', '1 tablespoon chipotle in adobo puree', '6 tablespoons unsalted butter, softened']}","<div class=""recipe-text"">
<p>1. Roast the poblano over an open flame or under the grill until charred all over, turning as necessary, about 8 minutes. Place into a bowl and cover with plastic wrap to loosen the skin, about 5 minutes. When cooled, peel off the blackened outer skin. Slice into thin strips, and then into 1-inch pieces.</p>
<p>2. Cook the mushrooms in a medium skillet over medium-high heat with the olive oil. When almost softened, about 3 minutes, season with salt and pepper. Reserve.</p>
<p>3. Lay out 4 slices of the bread on a work surface. Layer each with 1 slice of cheese, about 1 tablespoon of the chopped poblanos, 1 tablespoon of the mushrooms and another slice of cheese. Brush a thin layer of chipotle in adobo sauce on the underside of the remaining bread and close the sandwiches. Thinly and evenly spread the butter on both sides of the bread using about 1 1/2 tablespoons of the butter for each sandwich.</p>
<p>4. Place 2 sandwiches into a medium frying pan over medium heat. Cover the skillet with a lid and cook until the bread is evenly golden brown, about 2 minutes. Flip, cover again and cook until the bread is golden brown and the cheese is visibly melted, about 2 minutes more. Repeat with the remaining sandwiches. </p>
</div>",15 mins,4,Roasted Poblano and Mushroom Grilled Cheese
141,"Indian cheese, cassava and mushrooms grilled with homemade tandoori paste.",Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZWQ4MzE1YzEtMWZkYy00OGIwLWFmY2QtM2IxYTg1NzU5MGRlLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['225g paneer, cubed into 1 1/2 inch cubes', '150g fried tofu puffs, cubed into 1 1/2 inch pieces', '150g cassava (or potato), peeled, cubed into 1 1/2 inch pieces and boiled until al dente', '100g baby button mushrooms, wiped clean'], 'For the tandoori paste': ['1 tsp whole coriander seeds', '6 black peppercorns', '2 dried Kashmiri chillies', '2 tsp fine cornmeal', '1 inch cassia bark', '1 1/2 tsp cumin seeds']}","<div class=""recipe-text"">
<p>To make the paste: Combine the coriander seeds, peppercorns, Kashmiri chillies, cassia bark, cumin seeds, star anise, cloves, cardamom seeds and cornmeal in a dry frying pan.  </p>
<p>Gently toast the spices on a low heat, moving around constantly until aromatic (3-5 minutes). Don’t let the spices catch and scorch. </p>
<p>Place the dry-roasted spices in a pestle and mortar or in a small blender and grind to a fine powder.</p>
<p>Add the tomato puree, sugar, salt, lemon juice, garlic, yoghurt and ginger and blend again until smooth. Add 3-5 tbsp water if needed.</p>
<p>Bring a pan of salted water to the boil and add the cubed paneer and tofu. Gently boil for 4 minutes and drain. This softens them up for the marinade. </p>
<p>Combine the paneer and tofu, along with the cassava (or potatoes) and mushrooms with the tandoori paste and combine gently. Refrigerate for 1 hour-24 hours depending on the time you have.</p>
<p>Skewer the ingredients onto metal skewers or soaked wooden skewers and place over hot coals, turning until deliciously charred. </p>
</div>",30 mins,4,Vegetarian Tandoori Kebabs
142,A Southern American classic and a must-have on any dinner party table.,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZGMyNzg4YWMtN2Q1OC00M2Q1LTgyNDUtMTYyNzgzNDhlYzE0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the filling': ['3 medium sweet potatoes (about 675g)', '30g unsalted butter', '2 large eggs', '0.5 tsp fine salt', '250ml double cream', '65ml golden syrup', '1 tbsp pure vanilla extract', '85g light brown sugar', '0.5 tsp finely grated orange zest', '0.5 tsp ground cinnamon', '0.25 tsp freshly grated nutmeg']}","<div class=""recipe-text"">
                            For the filling:<br/>
1) Preheat the oven to 220C/Gas 7. Put the sweet potatoes on a small roasting pan and bake until easily pierced with a fork, about 40 minutes. Peel the cooked sweet potatoes and mash lightly with a fork; you should have about 450ml puree.<p>
2) Mix the sweet potatoes and butter in the food processor until smooth. Add the remaining ingredients and pulse to combine. Set aside.<p>
For the pastry case:<br/>
1) Pulse the flour, sugar and salt in a food processor with the metal blade until combined. Add the fat and pulse about 10 times. Add the butter and continue to pulse until it resembles cornmeal mixed with bean-size bits of butter.<p>
2) Beat the egg yolk and vinegar together, add to the processor and pulse 3 to 4 times, but don't let the dough form a ball in the machine. Remove the blade, and gather the dough together by hand. If dough does not come together, sprinkle up to 1 tbsp of ice cold water over it and bring together.<p>
3) Wrap the dough in cling film and shape into disk. Refrigerate at least 1 hour or up to 2 days. <p>
4) Lightly dust the counter with flour. Roll the dough into a 30cm circle and transfer to a prepared pie tin. Trim the dough so that the edges hang about 1cm over the tin; fold the edges under and flute as desired.<p>
5) Pierce the crust all over with a fork, and refrigerate for at least 20 minutes or up to a day. Position a rack in the lower third of the oven and heat the oven to 220C/Gas mark 7.<p>
6) Line the case with foil or baking paper, add pie weights or dried beans and place on a baking tray. Bake until the crust sets and begins to brown around the edges, about 25 minutes.<p>
7) Lift the foil and weights out of the crust, lower the oven temperature to 190C/Gas 5 and continue to bake until the crust begins to brown on the bottom, about 10 to 12 minutes more.<p>
8) Pour the filling into the warm crust and bake until set, about 20 minutes. Remove from the oven and cool on rack <p>
For the topping:<br/>
When ready to serve, whip the cream with the whiskey until it holds soft peaks. Top the pie with whipped cream and candied pecans. Serve. <p>
For the candied pecans:<br/>
1) Preheat the oven to 180C/Gas 4. Lightly beat the egg white until frothy. Whisk in the sugar and cinnamon, and then toss pecans in the mixture.<p>
2) Evenly spread the nuts on a baking paper lined baking tray. Bake until dry and toasted, about 10 to 15 minutes. Cool.<p>
Busy Bakers Tips:<br/>
The crust can be made, rolled and transferred to the pan, then tightly wrapped and frozen for up to a month.
The candied pecans can be made and stored in an airtight container for up to 2 weeks.
                        </p></p></p></p></p></p></p></p></p></p></p></p></p></div>",30 mins,8,Sweet potato pie
143,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNzMxYTlhODQtNjExYS00ZmZkLThlM2MtMThjYzI0NjE4YTBhLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'For the crust': ['1/4 cup plus 1/2 teaspoon cocoa butter, melted', '1 cup sweetened shredded coconut', '1/4 cup almonds, pulverised', '1/4 teaspoon pure vanilla extract', '1/4 teaspoon sea salt'], 'For the filling': ['1 cup finely chopped dark chocolate', '1 cup silken tofu', '2 tablespoons soy milk', '1 tablespoon maple syrup'], 'For the topping': []}","<div class=""recipe-text"">
<p>To make the crust: Preheat the oven to 140°C. Grease a 9-inch pie pan with 1/2 teaspoon cocoa butter. In a big bowl, mix together the coconut, almonds, remaining 1/4 cup cocoa butter, vanilla extract and salt until crumbly. Mold the crust mixture into the pan, pushing up along the sides. Bake until the coconut is lightly browned, 20 to 25 minutes. Remove from the oven and let cool.</p><p>To make the filling: Heat a double boiler over medium heat and melt the chocolate, stirring until creamy. Remove from the heat and let cool for 10 minutes. In a big bowl add the tofu, soy milk, maple syrup and cooled melted chocolate and blend with a hand mixer until completely smooth, about 10 minutes. Pour the chocolate filling into the pie crust and chill for 2 hours.</p><p>To make the topping: Preheat the oven to 120°C. Coat the sliced bananas in sugar. Place on a baking sheet covered with parchment paper, in an even layer. Bake until crisp and caramelized, 15 to 20 minutes. Let cool.</p><p>To assemble: Top the pie with a layer of caramelized bananas, starting from the middle and working outwards in a circle. Chill for another 30 minutes.</p>
</div>",20 mins,6,Dark Chocolate and Caramelised Banana Pie
144,"Substitute beef burgers for portobello mushrooms for a healthy, veggie option.",Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZTBmNzM2MjItMzQxNC00ZTYyLWI2MzAtNGQ4YzIzOTVlNjhiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the horseradish cream': ['160g low-fat plain yoghurt', '3 tbsp prepared horseradish'], 'For the onion jam': ['2 tbsp extra-virgin olive oil', '3 medium-large red onions, thinly sliced (about 900g)', '1 sprig fresh thyme', 'Salt and freshly ground black pepper', '240ml red wine', '80g honey', '60ml red wine vinegar'], 'For the portobello burgers': []}","<div class=""recipe-text"">
<p><strong>For the horseradish cream:</strong></p>
<p>Put the yoghurt in a kitchen towel-lined strainer set over a bowl, set aside to drain and thicken, about 60 minutes. </p>
<p>Discard the watery liquid. Whisk the horseradish into the thickened yoghurt.</p>
<p><strong>For the onion jam:</strong></p>
<p>Heat two tablespoons of the olive oil in a medium frying pan, over medium heat. Add the onions, thyme sprig and season with salt and pepper, to taste. Cook, covered, until the onions have wilted, about 10 to 15 minutes (give them a stir every now and then with a wooden spoon to prevent them from sticking).</p>
<p>Add the red wine, and simmer over high heat until most of the wine is absorbed into the onions. Add the honey and red wine vinegar and simmer gently until the onions are jam-like, about 15 minutes.</p>
<p><strong>For the portobello burgers:</strong></p>
<p>Preheat a griddle pan over a medium-high heat. Whisk the oil, garlic and balsamic vinegar in a bowl. Strip and add the leaves from the sprig of thyme. Coat the mushroom caps all over with the flavoured olive oil.</p>
<p>Griddle the mushrooms, turning as needed, until tender but not mushy, about 3 to 4 minutes per side. Season with salt and pepper.</p>
<p>Sandwich the mushrooms between the baps, top with some of the onion jam, some lettuce, and a dollop of the horseradish cream. Serve warm.</p>
</div>",20 mins,4,Grilled Portobello Burger with Onion Jam
145,These Japanese style burgers are the perfect meat alternative.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOTk4ZjBiZTQtZDZkOS00NDg3LWE4MTktMWI0MjI1MjhmZjhkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['45g millet', '120ml cold water', '2.25 tsp salt, plus more if required', '1 medium carrot', '1 large red radish', '2 tbsp fresh ginger, peeled and finely chopped', '1/2 clove garlic, finely chopped', '2 tbsp freshly squeezed lime juice', '2 tbsp mirin', '1/8 tsp Asian chili paste, such as Sri Racha sauce', '450g frozen blanched, peeled edamame (soybeans), thawed']}","<div class=""recipe-text"">
                            1) Heat the millet in a small dry saucepan, with a tight-fitting lid, over a medium-high heat and cook, shaking occasionally, until the millet begins to ""pop"". Continue toasting the millet, for about 2 minutes, until the popping subsides and until it smells like freshly popped popcorn. Set aside to cool slightly.<p>
2) Add the water and 0.25 tsp of the salt to the saucepan and bring to a boil over a high heat. Wrap the pan lid tightly with a small tea towel and cover the saucepan. (Make sure the towel's edges are folded up well away from the heat.) Lower the heat to low and simmer covered, for 20 minutes. Remove from the heat (don't uncover) and set aside for 10 minutes. Fluff the millet with a fork and transfer to a large bowl.<p>
3) Grate the carrot and radish into the bowl of millet. Add the ginger, garlic, lime juice, mirin and chilli paste and stir to combine.<p>
4) Meanwhile, bring a medium pan of water to a boil and salt it generously. Add the edamame, cover, return to the boil and cook for about 5 minutes, until soft. Drain and immediately add to the bowl of millet mixture. Stir to combine and set aside to cool.<p>
5) When cool, season the edamame mixture with the remaining 2 tsp salt. Transfer to a food processor and puree into a paste. Return the edamame to the bowl and stir in the panko and egg whites until incorporated.<p>
6) Using your hands, form the edamame mixture into 8 patties about 7–8 cm in diameter. Place on a greaseproof paper-lined baking sheet and refrigerate until set.<p>
7) Place a rack about 10cm from the grill element and preheat. Place the patties on a foil-lined baking sheet or grill pan. Brush both sides of the patties lightly with oil , sprinkle with salt and grill for about 3 minutes, until the tops are lightly browned.<p>
8) Remove from under the grill and turn the patties over. Grill for a further 3 minutes, until lightly browned and piping hot. (The burgers can also be barbecued or sauted.)<p>
9) Serve on grilled naan bread with alfalfa sprouts, pickled ginger, and wasabi.
                        </p></p></p></p></p></p></p></p></div>",30 mins,8,Edamame Veggie Burger
